Tiempo (s),Temperatura (°C),Potencia Luz (%),Potencia Luz Aplicada (%),Velocidad Ventilador (RPM),Potencia Ventilador (%)
203.859,27.34,,30.03,2490.0,0
204.174,27.15,,35.71,2490.0,0
204.175,27.15,,35.69,930.0,0
204.482,26.99,,40.35,930.0,0
204.795,26.99,,40.35,930.0,0
205.115,27.01,,39.83,930.0,0
205.428,27.2,,34.11,480.0,0
205.735,27.34,,29.94,480.0,0
206.045,27.27,,31.97,480.0,0
206.358,27.3,,30.91,390.0,0
206.668,27.51,,24.63,390.0,0
206.98,27.47,,25.56,390.0,0
207.291,27.72,,18.23,30.0,0
207.601,27.61,,21.27,30.0,0
207.929,27.58,,22.25,30.0,0
208.242,27.39,,27.93,30.0,0
208.568,27.56,,22.62,510.0,0
208.877,27.73,,17.38,510.0,0
209.186,27.54,,23.03,510.0,0
209.498,27.56,,22.46,1140.0,0
209.81,27.51,,23.96,1140.0,0
210.119,27.11,,35.85,1140.0,0
210.444,27.11,,35.84,120.0,0
210.752,27.11,,35.83,120.0,0
211.063,27.01,,38.94,120.0,0
211.369,27.02,,38.42,450.0,0
211.681,27.23,,32.17,450.0,0
212.007,27.2,,33.18,450.0,0
212.011,27.13,,35.23,450.0,0
212.318,27.06,,37.29,450.0,0
212.629,27.27,,31.04,450.0,0
212.937,27.27,,31.01,450.0,0
213.247,27.35,,28.39,60.0,0
213.56,27.59,,21.09,60.0,0
213.87,27.47,,24.67,60.0,0
214.181,27.39,,27.21,270.0,0
214.506,27.41,,26.61,270.0,0
214.814,27.46,,25.0,270.0,0
